POW,POW_original,Action,Action2,Responsible,Relationship,Topic,Cluster,Notes,Source URL
Central Government,Central Government,Funding for ULEVs: Plug In Car and Plug In Van Grant Schemes,Transition to electric and low-emission vehicles,Central Government,Provide funding,Electric vehicles,Transition to low-emission vehicles,,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/633269/air-quality-plan-overview.pdf
Central Government,Central Government,Funding for cycling and walking infrastructure,Invest in transport infrastructure,Local Government,Provide funding,Modal shift,Reduce vehicle usage,,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/633269/air-quality-plan-overview.pdf
Central Government,Central Government,Better regulation of Euro Standards,Regulate transport,European Commission,Expedite or expand,Regulate vehicles,Regulatory framework,,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/633269/air-quality-plan-overview.pdf
Central Government,Central Government,Change tax treatment for new diesel vehicles,Tax polluting vehicles,Central Government,Policy,Tax diesel,Reduce reliance on diesel,,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/633269/air-quality-plan-overview.pdf
Central Government,Central Government,Better regulation of Euro Standards,Regulate transport,Central Government,Policy,Euro standards,Regulatory framework,,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/633269/air-quality-plan-overview.pdf
Central Government,Central Government,Introduce legislation on electric vehicles: Automated and Electric Vehicles Bill,Regulate transport,Central Government,Policy,Electric vehicles,Transition to low-emission vehicles,Legislation?,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/633269/air-quality-plan-overview.pdf
Local Government,Camden Council,Undertake measures to increase walking and cycling in Camden,Promote behaviour change,Local Government,Intervention,Modal shift,Reduce vehicle usage,,https://www.camden.gov.uk/ccm/cms-service/stream/asset/;jsessionid=7B22389CC4CC028050D3958F254191F2?asset_id=3478895&
Local Government,Camden Council,Support uptake of low emission and alternatively fuelled vehicles,Transition to electric and low-emission vehicles,Local Government,Intervention,Electric vehicles,Transition to low-emission vehicles,,https://www.camden.gov.uk/ccm/cms-service/stream/asset/;jsessionid=7B22389CC4CC028050D3958F254191F2?asset_id=3478895&
Local Government,Camden Council,Encourage modal shift away from diesel vehicles through parking permit charges.,Traffic and parking management,Local Government,Policy,Modal shift,Reduce reliance on diesel,,https://www.camden.gov.uk/ccm/cms-service/stream/asset/;jsessionid=7B22389CC4CC028050D3958F254191F2?asset_id=3478895&
Local Government,Camden Council,Encourage and implement measures for taxis and private hire vehicle operators to reduce emissions where practical.,Reduce vehicle emissions,Greater London Authority | taxis and private hire vehicle operators,Cooperation,Taxis,Reduce vehicle emissions; reduce reliance on diesle,,https://www.camden.gov.uk/ccm/cms-service/stream/asset/;jsessionid=7B22389CC4CC028050D3958F254191F2?asset_id=3478895&
Local Government,Camden Council,Continue to enforce anti-idling policies at idling hotspots and review areas where enforcement is undertaken.,Enforce anti-idling initiatives,Local government,Intervention,Anti-idling,Reduce vehicle emissions,,https://www.camden.gov.uk/ccm/cms-service/stream/asset/;jsessionid=7B22389CC4CC028050D3958F254191F2?asset_id=3478895&
Local Government,Camden Council,Explore emissions based charging for paid for-parking bays to encourage modal shift or the use of less polluting vehicles.,Praking and traffic management,Local government,Policy exploration,Modal shift,Reduce vehicle usage; reduce reliance on diesel; transition to low-emission vehicles,,https://www.camden.gov.uk/ccm/cms-service/stream/asset/;jsessionid=7B22389CC4CC028050D3958F254191F2?asset_id=3478895&
Local Government,Camden Council,"Review housing estate Parking permits and enforcement, identify and implement improvements to increase efficiency and effectiveness in influencing car ownership and usage",Praking and traffic management,Local government,Policy exploration,Modal shift,Reduce vehicle usage; reduce reliance on diesel; transition to low-emission vehicles,,https://www.camden.gov.uk/ccm/cms-service/stream/asset/;jsessionid=7B22389CC4CC028050D3958F254191F2?asset_id=3478895&
Local Government,Camden Council,Increase the proportion of low emission vehicles in Camden’s fleet,Manage council fleet,Local government,Intervention,Low-emission vehicles,,,https://www.camden.gov.uk/ccm/cms-service/stream/asset/;jsessionid=7B22389CC4CC028050D3958F254191F2?asset_id=3478895&
Local Government,Camden Council,Install a permanent supply of Compressed Natural Gas at Camden’s York Way depot for use by the council fleet and external operators.,Manage council fleet,Local government,Intervention,Low-emission vehicles; procurement,,,https://www.camden.gov.uk/ccm/cms-service/stream/asset/;jsessionid=7B22389CC4CC028050D3958F254191F2?asset_id=3478895&
Local Government,Camden Council,Ensure that fleet operators and contractors working with Camden minimise their emissions where possible.,Manage council fleet,Local government,Policy,Low-emission vehicles; procurement,,,https://www.camden.gov.uk/ccm/cms-service/stream/asset/;jsessionid=7B22389CC4CC028050D3958F254191F2?asset_id=3478895&
Local Government,Camden Council,Maintain ‘Gold’ FORS (Fleet Operator’s Recognition Scheme) accreditation for Camden’s fleet.,Manage council fleet,Local government,Policy,Low-emission vehicles; procurement,,,https://www.camden.gov.uk/ccm/cms-service/stream/asset/;jsessionid=7B22389CC4CC028050D3958F254191F2?asset_id=3478895&
Local Government,Camden Council,Ensure ongoing uptake of FORS bronze among Camden’s contractors and suppliers via Procurement and Planning controls,Reduce emissions,Businesses,Policy,Low-emission vehicles; procurement,,,https://www.camden.gov.uk/ccm/cms-service/stream/asset/;jsessionid=7B22389CC4CC028050D3958F254191F2?asset_id=3478895&
Local Government,Camden Council,"Work in partnership with businesses by providing advice to encourage the adoption of travel plans, consolidated delivery plans, and other policies to reduce transport emissions.",Promote behaviour change,Businesses,Cooperation,Modal shift,,,https://www.camden.gov.uk/ccm/cms-service/stream/asset/;jsessionid=7B22389CC4CC028050D3958F254191F2?asset_id=3478895&
Local Government,Camden Council,Increase awareness of air pollution in and encourage modal shift away from cars in schools through educational projects and lessons within the national curriculum.,Promote behaviour change,Local government,Cooperation,Modal shift,,,https://www.camden.gov.uk/ccm/cms-service/stream/asset/;jsessionid=7B22389CC4CC028050D3958F254191F2?asset_id=3478895&
Activist,Camden Air Action,"Travel by bike, foot and public transport",Promote behaviour change,Citizens,Campaign,Modal shift,,,https://camdenairaction.wordpress.com/
Activist,Clean Air Day,Take to the street and get active,Promote behaviour change,Citizens,Campaign,Modal shift,,,https://www.cleanairday.org.uk/take-action
NGO,Greenpeace,more investment in electric vehicles is vital,Promote transition to electric and low-emission vehicles,Central Government,Expedite or expand,Electric vehicles,,,"https://www.greenpeace.org.uk/what-do-we-think-labour-party-manifesto-20170517/
https://www.greenpeace.org.uk/press-releases/european-court-slams-uk-claims-transparent-and-objective-distribution-fishing-quota-20170601/"
NGO,Greenpeace,Diesel vehicles produce the majority of the air pollution coming from our streets – that’s why Sephie and her parents wanted to be apart of this campaign calling on VW to ditch diesel and go electric.,Remove polluting vehicles; promote transition to electric and low-emission vehicles,Car manufacturers,Campaign,Reduce reliance on diesel; electric vehicles,,,https://www.greenpeace.org.uk/stand-with-sephie/
NGO,Greenpeace,critical this charge is followed by the Ultra Low Emission Zone (ULEZ) in 2019 covering a wider number of cars in central London and by an expanded ULEZ covering all of inner London in 2021 at the latest,Regulate space,Greater London Authority,Expedite or expand,Ultra-low emission zone,,ULEZ,https://www.greenpeace.org.uk/london-takes-bold-step-clean-toxic-pollution/
NGO,Greenpeace,Reallocation of  road space to buses and cycling. ,Parking and traffic management,Greater London Authority,Expedite or expand,modal shift,,,https://www.greenpeace.org.uk/london-takes-bold-step-clean-toxic-pollution/
